delta_v_km_s,chemical_isp_s,ntp_isp_s,chemical_exhaust_speed_m_s,ntp_exhaust_speed_m_s,chemical_propellant_per_dry_mass,ntp_propellant_per_dry_mass,ntp_to_chemical_propellant_ratio_equal_dry_mass,propellant_reduction_pct_equal_dry_mass,wet_mass_ratio_equal_dry_mass,wet_mass_reduction_pct_equal_dry_mass,ideal_kinetic_energy_ratio_equal_dry_mass,ideal_kinetic_energy_change_pct_equal_dry_mass,ntp_to_chemical_propellant_ratio_ntp_dry_mass_plus_25pct,ntp_to_chemical_wet_mass_ratio_ntp_dry_mass_plus_25pct,ideal_kinetic_energy_ratio_ntp_dry_mass_plus_25pct
0.5,452.0,900.0,4432.605799999999,8825.984999999999,0.11940855063925032,0.05828629891722568,0.4881250011426453,51.18749988573548,0.9453977266056078,5.460227339439216,1.9352594708157584,93.52594708157585,0.6101562514283067,1.1817471582570098,2.419074338519698
1.0,452.0,900.0,4432.605799999999,8825.984999999999,0.25307550324426703,0.11996989047591956,0.47404781947672475,52.59521805232752,0.8937768614710516,10.622313852894838,1.8794479490178706,87.94479490178706,0.5925597743459059,1.1172210768388144,2.349309936272338
1.5,452.0,900.0,4432.605799999999,8825.984999999999,0.40270343292821414,0.18524879029049146,0.46001294040002355,53.99870595999765,0.8449746129274275,15.502538707257251,1.8238041434529872,82.38041434529873,0.5750161755000295,1.0562182661592843,2.279755179316234
2.0,452.0,900.0,4432.605799999999,8825.984999999999,0.5701982168308732,0.2543325555726432,0.4460423552115052,55.395764478849486,0.7988370781010433,20.116292189895667,1.7684152425861426,76.84152425861426,0.5575529440143815,0.9985463476263041,2.2105190532326784
2.5,452.0,900.0,4432.605799999999,8825.984999999999,0.7576933101189829,0.32744295784835786,0.43215764673564094,56.784235326435905,0.7552187575649928,24.47812424350072,1.7133668154116868,71.33668154116867,0.5401970584195512,0.944023446956241,2.1417085192646086
3.0,452.0,900.0,4432.605799999999,8825.984999999999,0.9675769207485971,0.40481469488507343,0.41837985818416945,58.162014181583054,0.7139820964918558,28.601790350814415,1.658742291532115,65.8742291532115,0.5229748227302118,0.8924776206148198,2.0734278644151436
3.5,452.0,900.0,4432.605799999999,8825.984999999999,1.202522429126426,0.4866961441144561,0.4047293691378523,59.527063086214774,0.6749970508605062,32.50029491394938,1.6046224694654065,60.46224694654065,0.5059117114223154,0.8437463135756328,2.005778086831758
4.0,452.0,900.0,4432.605799999999,8825.984999999999,1.4655224401388538,0.573350159969398,0.39122578014914244,60.87742198508575,0.6381406773490125,36.18593226509875,1.5510850591315166,55.10850591315166,0.4890322251864281,0.7976758466862656,1.9388563239143957
4.5,452.0,900.0,4432.605799999999,8825.984999999999,1.759926901284382,0.6650549176948393,0.3778878072773858,62.21121927226142,0.6032967456203191,39.67032543796809,1.4982042637181971,49.820426371819714,0.4723597590967322,0.7541209320253989,1.8727553296477464
5.0,452.0,900.0,4432.605799999999,8825.984999999999,2.089485772437027,0.7621048063411973,0.36473318765522517,63.526681234477486,0.5703553717780113,42.96446282219887,1.4460504052819936,44.60504052819936,0.45591648456903144,0.7129442147225141,1.807563006602492
5.5,452.0,900.0,4432.605799999999,8825.984999999999,2.4583967907443176,0.8648113738070802,0.35177859695515024,64.82214030448498,0.5392126718362281,46.07873281637719,1.3946895975295235,39.46895975295235,0.43972324619393777,0.6740158397952851,1.7433619969119043
6.0,452.0,900.0,4432.605799999999,8825.984999999999,2.871358939062531,0.9735043269650419,0.3390395793856692,66.09604206143308,0.5097704341109057,49.02295658890943,1.344183468274689,34.418346827468895,0.4237994742320865,0.6372130426386322,1.6802293353433613
6.5,452.0,900.0,4432.605799999999,8825.984999999999,3.3336322989802945,1.0885325900809648,0.32653049060447664,67.34695093955234,0.48193580949920406,51.80641905007959,1.2945889331076537,29.458893310765365,0.4081631132555958,0.602419761874005,1.618236166384567
7.0,452.0,900.0,4432.605799999999,8825.984999999999,3.851105050804973,1.2102654249247915,0.3142644536979891,68.5735546302011,0.45562101867038085,54.43789813296191,1.2459580208677814,24.59580208677814,0.3928305671224864,0.569526273337976,1.5574475260847267
7.5,452.0,900.0,4432.605799999999,8825.984999999999,4.430368473920341,1.3390936161683666,0.3022533281488956,69.77466718511045,0.4307430752447093,56.925692475529075,1.1983377506099022,19.83377506099022,0.3778166601861195,0.5384288440558866,1.4979221882623777
8.0,452.0,900.0,4432.605799999999,8825.984999999999,5.078800902828247,1.4754307258757304,0.29050769150137445,70.94923084986256,0.4072235240874564,59.27764759125436,1.151770058912764,15.177005891276396,0.36313461437671807,0.5090294051093205,1.4397125736409548
